id	h_species	h_genus	h_family	i_species	i_genus	i_tribe	i_family	i_family_id	i_tribe_id	i_genus_id	i_species_id	h_family_id	h_genus_id	h_species_id	coll_total_i	coll_number_same_h	coll_percent	h_n_specimens	i_j_h_col_event	i_j_same_col	h_voucher	rel_confidence
3799	gambelii	Quercus	Fagaceae	associatus	Chlamydatus	Phylini	Miridae	6296	6292	5807	84	68	571	754	947	1	0.11	1	0	0	0	LOW
3800	gambelii	Quercus	Fagaceae	cercocarpicola	Oligotylus	Phylini	Miridae	6296	6292	6073	389	68	571	754	84	1	1.19	2	0	0	0	LOW
3801	ponderosa	Pinus	Pinaceae	obscurus	Plagiognathus	Phylini	Miridae	6296	6292	6132	349	62	554	879	325	1	0.31	1	0	0	0	LOW
3802	ponderosa	Pinus	Pinaceae	longisetosus	Pilophorus	Pilophorini	Miridae	6296	6293	6127	4570	62	554	879	5	2	40.00	1	0	0	0	LOW
3803	gambelii	Quercus	Fagaceae	piceicola	Psallovius	Phylini	Miridae	6296	6292	6153	4788	68	571	754	306	1	0.33	1	0	0	0	LOW
3804	gambelii	Quercus	Fagaceae	cercocarpi	Atractotomus	Phylini	Miridae	6296	6292	5750	2909	68	571	754	20	1	5.00	2	0	0	0	LOW
3805	ponderosa	Pinus	Pinaceae	yollabollae	Phytocoris	Mirini	Miridae	6296	8151	36447	76270	62	554	879	29	1	3.45	1	0	0	0	LOW
3806	gambelii	Quercus	Fagaceae	denticulatus	Ceratocapsus	Ceratocapsini	Miridae	6296	34068	5802	741	68	571	754	21	3	14.29	13	0	0	0	LOW
3807	viscosissimum	Geranium	Geraniaceae	shoshonea	Plagiognathus	Phylini	Miridae	6296	6292	6132	364	221	488	964	155	6	3.87	2	0	0	0	MEDIUM
3808	viscosissimum	Geranium	Geraniaceae	brunneus	Plagiognathus	Phylini	Miridae	6296	6292	6132	342	221	488	964	331	1	0.30	1	0	0	0	LOW
3809	ponderosa	Pinus	Pinaceae	dislocatus	Pilophorus	Pilophorini	Miridae	6296	6293	6127	4542	62	554	879	15	12	80.00	35	0	0	0	HIGH
3810	hastata	Phacelia	Boraginaceae	vestitus	Melanotrichus	Orthotylini	Miridae	6296	6291	6029	1616	113	548	768	70	3	4.29	10	0	0	0	LOW
3811	viscosissimum	Geranium	Geraniaceae	chloris	Ilnacora	Orthotylini	Miridae	6296	6291	5942	1279	221	488	964	94	1	1.06	1	0	0	0	LOW
3812	viscosissimum	Geranium	Geraniaceae	brevis	Deraeocoris	Deraeocorini	Miridae	6296	8164	34950	37485	221	488	964	849	2	0.24	1	0	0	0	LOW
3813	menziesii	Pseudotsuga	Pinaceae	yollabollae	Phytocoris	Mirini	Miridae	6296	8151	36447	76270	62	568	831	29	6	20.69	5	0	0	0	HIGH
3814	viscosissimum	Geranium	Geraniaceae	fulgidus	Deraeocoris	Deraeocorini	Miridae	6296	8164	34950	37486	221	488	964	138	1	0.72	1	0	0	0	LOW
3815	viscosissimum	Geranium	Geraniaceae	incertus	Deraeocoris	Deraeocorini	Miridae	6296	8164	34950	59955	221	488	964	166	1	0.60	4	0	0	0	LOW
3816	oreophilus	Symphoricarpos	Caprifoliaceae	obliquus	Orectoderus	Pronotocrepini	Miridae	6296	6306	6325	6333	136	601	863	317	3	0.95	5	0	0	0	LOW
3817	tridentata	Artemisia	Asteraceae	vestitus	Melanotrichus	Orthotylini	Miridae	6296	6291	6029	1616	98	418	948	70	1	1.43	11	0	0	0	LOW
3818	ludoviciana	Artemisia	Asteraceae	decolor	Europiella	Phylini	Miridae	6296	6292	5876	34	98	418	815	732	3	0.41	1	0	0	0	LOW
3819	villosa	Chrysopsis	Asteraceae	cognatus	Polymerus	Mirini	Miridae	6296	8151	41124	68009	98	3554	9746	8	1	12.50	1	0	0	0	LOW
3820	triloba	Rhus	Anacardiaceae	confraternus	Prepops	Resthenini	Miridae	6296	73889	67511	67886	85	577	950	10	1	10.00	9	0	0	0	LOW
3821	oreophilus	Symphoricarpos	Caprifoliaceae	inops	Phytocoris	Mirini	Miridae	6296	8151	36447	37504	136	601	863	100	2	2.00	3	0	0	0	LOW
3822	scopulorum	Juniperus	Cupressaceae	manitou	Deraeocoris	Deraeocorini	Miridae	6296	8164	34950	60134	63	511	8739	33	1	3.03	2	0	0	0	LOW
3823	villosa	Chrysopsis	Asteraceae	vittifrons	Ilnacora	Orthotylini	Miridae	6296	6291	5942	1299	98	3554	9746	53	1	1.89	4	0	0	0	LOW
3824	interior	Salix	Salicaceae	obscurus	Plagiognathus	Phylini	Miridae	6296	6292	6132	349	382	583	786	325	1	0.31	1	0	0	0	LOW
3825	interior	Salix	Salicaceae	atricolor	Atractotomus	Phylini	Miridae	6296	6292	5750	2901	382	583	786	124	1	0.81	9	0	0	0	LOW
