id	h_species	h_genus	h_family	i_species	i_genus	i_tribe	i_family	i_family_id	i_tribe_id	i_genus_id	i_species_id	h_family_id	h_genus_id	h_species_id	coll_total_i	coll_number_same_h	coll_percent	h_n_specimens	i_j_h_col_event	i_j_same_col	h_voucher	rel_confidence
757	edule	Viburnum	Adoxaceae	norvegicus	Closterotomus	Mirini	Miridae	6296	8151	50778	50779	74	620	734	90	1	1.11	1	0	0	0	LOW
758	californica	Encelia	Asteraceae	apicalis	Taylorilygus	Mirini	Miridae	6296	8151	50706	50707	98	1194	10184	523	1	0.19	5	0	0	0	LOW
759	dumosa	Ambrosia	Asteraceae	maturus	Scalponotatus	Orthotylini	Miridae	6296	6291	6190	2485	98	407	8633	123	32	26.02	90	0	15	0	HIGH
760	chenopodiifolia	Ambrosia	Asteraceae	maturus	Scalponotatus	Orthotylini	Miridae	6296	6291	6190	2485	98	407	5784	123	1	0.81	1	0	0	0	LOW
761	confertiflora	Ambrosia	Asteraceae	maturus	Scalponotatus	Orthotylini	Miridae	6296	6291	6190	2485	98	407	2022	123	1	0.81	1	0	0	0	LOW
762	canescens	Atriplex	Amaranthaceae	sparsus	Megalopsallus	Phylini	Miridae	6296	6292	6027	21	83	424	686	136	28	20.59	49	0	0	0	HIGH
763	glandulosa	Prosopis	Fabaceae	baja	Ramentomiris	Orthotylini	Miridae	6296	6291	6170	2399	211	565	9450	6	2	33.33	4	0	0	0	LOW
764	juliflora	Prosopis	Fabaceae	prosopidis	Atractotomus	Phylini	Miridae	6296	6292	5750	2944	211	565	792	20	6	30.00	93	0	0	0	HIGH
765	fasiculatum	Eriogonum	Polygonaceae	roseus	Phytocoris	Mirini	Miridae	6296	8151	36447	67442	356	477	9345	46	4	8.70	2	0	0	0	MEDIUM
766	cuneatus	Ceanothus	Rhamnaceae	albofasciatus	Spanagonicus	Phylini	Miridae	6296	6292	6207	468	373	444	716	823	1	0.12	2	0	0	0	LOW
767	cuneatus	Ceanothus	Rhamnaceae	meridionalis	Oligotylus	Phylini	Miridae	6296	6292	6073	497	373	444	716	20	4	20.00	2	0	0	0	MEDIUM
768	cuneatus	Ceanothus	Rhamnaceae	ceanothi	Oligotylus	Phylini	Miridae	6296	6292	6073	499	373	444	716	81	6	7.41	7	0	0	0	MEDIUM
769	cuneatus	Ceanothus	Rhamnaceae	cruralis	Tuxedo	Phylini	Miridae	6296	6292	6253	549	373	444	716	168	7	4.17	2	0	0	0	MEDIUM
